time,A1_persist_count_fraction,A2_persist_count_fraction,A1_persist_mass_fraction,A2_persist_mass_fraction,fixed_R_mass_fraction,dynamic_R_count_fraction,dynamic_R_mass_fraction,reduction_error_all,reduction_error_off_boundary,fixed_R_output_rms_ratio,m_eff_total,m_eff_A1_actual,m_eff_A1_gate_approx
1.11,0.0,0.045454545454545456,0.0,0.05819637620718819,0.9617601124080409,0.865,0.6799022258515103,0.9641788503162032,0.9641787517546055,0.9641798779920114,0.5404110225175367,0.01935951032402174,0.01935951032402174
1.12,0.0,0.045454545454545456,0.0,0.05820453469026828,0.9617598521618653,0.865,0.6798873448488072,0.9641786038348167,0.964178516311238,0.964179553082668,0.5626895765377916,0.02015778230731826,0.02015778230731826
1.1300000000000001,0.0,0.045454545454545456,0.0,0.0582122913356375,0.9617547947214354,0.865,0.6798766870252603,0.9641783363483135,0.9641782600874241,0.9641792143927631,0.5847177470051068,0.020947101437059953,0.020947101437059953
1.1400000000000001,0.0,0.045454545454545456,0.0,0.05821966009399242,0.961744975975181,0.865,0.6798701761172684,0.9641780481086726,0.9641779833773662,0.964178861501499,0.6064120404884462,0.02172447700575747,0.02172447700575747
1.1500000000000001,0.0,0.045454545454545456,0.0,0.05822665524513046,0.961730422523899,0.865,0.6798677454077178,0.9641777392213722,0.9641776863043234,0.964178493778532,0.6276941263291533,0.022487103086737924,0.022487103086737924
1.1600000000000001,0.0,0.045454545454545456,0.0,0.058233291093561165,0.9617111518350275,0.865,0.6798693374617895,0.9641774095396453,0.9641773687495913,0.9641781104858477,0.6484918850576541,0.023232396196239232,0.023232396196239232
1.1700000000000002,0.0,0.045454545454545456,0.0,0.058239582025945064,0.9616871723769433,0.865,0.6798749038763946,0.9641770587135261,0.9641770304022617,0.9641777107451412,0.6687402639293349,0.023958025973574295,0.023958025973574295
1.1800000000000002,0.0,0.09090909090909091,0.0,0.11579490258013574,0.9616584837297818,0.86,0.6797237554194927,0.9641766861926171,0.9641766707538696,0.964177293589405,0.6883819232114027,0.024661938311735295,0.024661938311735295
1.19,0.0,0.09090909090909091,0.0,0.11580600316480083,0.9616250766974008,0.86,0.6797350846091716,0.9641762912803807,0.9641762891289652,0.9641768578715775,0.7073676654094833,0.025342370642666878,0.025342370642666878
1.2,0.0,0.09090909090909091,0.0,0.11581653929100988,0.9615869333958085,0.86,0.6797499945738487,0.9641758730606572,0.9641758846563783,0.9641764023444356,0.7256566514241818,0.02599785986483154,0.02599785986483154
1.21,0.0,0.09090909090909091,0.0,0.1158265360455064,0.9615440273292268,0.86,0.6797684694201862,0.9641754304756398,0.9641754562904166,0.9641759255196191,0.7432164161463563,0.026627242724760653,0.026627242724760653
1.22,0.0,0.09090909090909091,0.0,0.11583601812291942,0.9614963234572327,0.86,0.6797905007674695,0.9641749622318447,0.9641750027797168,0.9641754258508315,0.7600227009162828,0.02722965000038094,0.02722965000038094
1.23,0.0,0.09090909090909091,0.0,0.11584500950312954,0.9614437782363466,0.86,0.679816087613326,0.964174466850443,0.9641745226942128,0.9641749016255612,0.776059124879569,0.027804494688916923,0.027804494688916923
1.24,0.0,0.09090909090909091,0.0,0.11585353368242955,0.9613863396631439,0.86,0.6798452361867874,0.9641739426759169,0.9641740143804237,0.9641743508405115,0.7913167261734735,0.028351455377393357,0.028351455377393357
1.25,0.0,0.09090909090909091,0.0,0.11586161335752593,0.9613239473036981,0.86,0.6798779598228201,0.9641733878893367,0.9641734760399843,0.9641737714681008,0.8057933987635207,0.02887045633156507,0.02887045633156507
1.26,0.0,0.13636363636363635,0.0,0.17290148210931358,0.961256532292883,0.855,0.679730276696665,0.9641728003991709,0.9641729056193227,0.964173161245672,0.8194932559375419,0.029361644672861054,0.029361644672861054
1.27,0.0,0.13636363636363635,0.0,0.17291235209278885,0.9611840173355317,0.855,0.6797657106503527,0.9641721778681219,0.9641723008109462,0.9641725176581251,0.8324259447542073,0.029825365769849583,0.029825365769849583
1.28,0.0,0.13636363636363635,0.0,0.1729226735682011,0.9611063167054861,0.855,0.6798044769327201,0.9641715177694351,0.964171659111279,0.9641718379777974,0.8446059395144492,0.030262137892751013,0.030262137892751013
1.29,0.0,0.13636363636363635,0.0,0.17293247328325603,0.9610233362200029,0.85,0.6619585080328969,0.964170817275872,0.9641709777342012,0.9641711192473108,0.8560518334341192,0.030672626921647763,0.030672626921647763
1.3,0.0,0.13636363636363635,0.0,0.1729417771020661,0.9609349732096549,0.855,0.6694445865550748,0.9641700733608128,0.9641702536607237,0.9641703582812408,0.8667856469827866,0.031057621496834328,0.031057621496834328
1.31,0.0,0.13636363636363635,0.0,0.17295060937244464,0.960841116477321,0.855,0.659061995170046,0.9641692826597905,0.9641694835474839,0.9641695515841606,0.8768321697550241,0.03141800948407042,0.03141800948407042
1.32,0.0,0.13636363636363635,0.0,0.17295899346496943,0.9607416462607318,0.855,0.6591197253707426,0.9641684414902171,0.9641686637419948,0.9641686953545671,0.8862183450979997,0.031754755933185094,0.031754755933185094
1.33,0.0,0.13636363636363635,0.0,0.17296695164396234,0.9606364341545444,0.855,0.6591813470735036,0.9641675458728355,0.9641677903030624,0.9641677855613242,0.894972702103516,0.03206888288580771,0.03206888288580771
1.34,0.0,0.13636363636363635,0.0,0.17297450495878564,0.960525343046617,0.85,0.641135438800242,0.964166591538475,0.9641668589712087,0.9641668177877257,0.9031248487923131,0.03236145087409192,0.03236145087409192
1.35,0.0,0.13636363636363635,0.0,0.17298167343076204,0.9604082270519216,0.845,0.6230123701199543,0.9641655738629696,0.9641658651426228,0.9641657873703277,0.9107050184576756,0.03263354294245006,0.03263354294245006
1.36,0.0,0.13636363636363635,0.0,0.17298847583460028,0.9602849314079378,0.845,0.623096915925725,0.9641644878050419,0.9641648038371068,0.9641646892634328,0.9177436739632401,0.03288625048742774,0.03288625048742774
1.37,0.0,0.13636363636363635,0.0,0.17299492980303183,0.9601552923998482,0.845,0.6231862660549804,0.9641633279728968,0.9641636696419567,0.9641635179190213,0.9242711708737453,0.033120660935924064,0.033120660935924064
1.3800000000000001,0.0,0.18181818181818182,0.0,0.22883118940398173,0.9600191372706687,0.845,0.6318343732826545,0.9641620883194121,0.9641624565640996,0.9641622672820265,0.930317469573327,0.033337847736682455,0.033337847736682455
1.3900000000000001,0.0,0.18181818181818182,0.0,0.22883902557948255,0.9598762841167108,0.84,0.6136126304938381,0.9641607623753687,0.9641611581370539,0.9641609308681873,0.9359119018091608,0.033538861787247035,0.033538861787247035
1.4000000000000001,0.0,0.18181818181818182,0.0,0.2288464731062139,0.9597265418028011,0.845,0.6229020459588601,0.9641593431322503,0.9641597673439247,0.9641595014680142,0.9410829792649562,0.03372472449674151,0.03372472449674151
1.4100000000000001,0.0,0.18181818181818182,0.0,0.22885354969419935,0.9595697098411015,0.84,0.5955771427973067,0.9641578229813128,0.9641582766554192,0.9641579715159851,0.9458582453316495,0.03389642284455193,0.03389642284455193
1.4200000000000002,0.0,0.18181818181818182,0.0,0.2288602720832496,0.9594055782823471,0.85,0.6061624559484114,0.9641561936907126,0.9641566778986642,0.9641563327964573,0.9502641623681769,0.03405490508177149,0.03405490508177149
1.4300000000000002,0.0,0.18181818181818182,0.0,0.22886665572051007,0.9592339275862705,0.85,0.6062816225261689,0.9641544464846844,0.9641549623294939,0.9641545765281383,0.954326032321808,0.03420107789031106,0.03420107789031106
1.4400000000000002,0.0,0.22727272727272727,0.0,0.2837247082776313,0.9590545285142189,0.845,0.6060978090887081,0.9641525716244634,0.9641531202809636,0.9641526930241359,0.9580679381562957,0.03433580447137704,0.03433580447137704
1.4500000000000002,0.0,0.22727272727272727,0.0,0.2837319773983288,0.9588671420156863,0.855,0.6272395174138593,0.9641505587802248,0.9641511414713687,0.9641506718990193,0.9615127205946659,0.03445990336438013,0.03445990336438013
1.46,0.0,0.22727272727272727,0.0,0.2837388851445622,0.9586715191314199,0.855,0.6273547288151139,0.9641483967592203,0.964149014694595,0.9641485017060205,0.9646819643212736,0.034574147928876975,0.034574147928876975
1.47,0.0,0.22727272727272727,0.0,0.28374544681270547,0.9584674008723559,0.85,0.6090687707905222,0.9641460736227383,0.9641467280424845,0.9641461706051038,0.9675960025837359,0.03467926699779884,0.03467926699779884
1.48,0.0,0.22727272727272727,0.0,0.2837516766899042,0.958254518075715,0.85,0.6092042782245539,0.964143576273981,0.9641442685287468,0.9641436656697263,0.9702739373806786,0.03477594541290785,0.03477594541290785
1.49,0.0,0.22727272727272727,0.0,0.2837575883222745,0.9580325913194163,0.855,0.6208082358389706,0.9641408905765607,0.9641416220029123,0.9641409726351589,0.972733667385253,0.034864824770258686,0.034864824770258686
1.5,0.0,0.22727272727272727,0.0,0.28376319482592965,0.957801330821742,0.85,0.6025691528492785,0.9641380015848773,0.9641387734958621,0.9641380764150467,0.9749919303401356,0.03494650494283307,0.03494650494283307
1.51,0.0,0.2727272727272727,0.0,0.3371365786205572,0.9575604363391542,0.845,0.596045075637848,0.9641348927494097,0.964135706584766,0.9641349605247664,0.9770643385527383,0.03502154581073585,0.03502154581073585
1.52,0.0,0.2727272727272727,0.0,0.3371426744608,0.9573095970704273,0.855,0.6209711367767737,0.9641315463525727,0.9641324035982243,0.9641316073341415,0.9789654317212795,0.03509046882562153,0.03509046882562153
1.53,0.0,0.2727272727272727,0.0,0.33714845572477986,0.957048491569318,0.865,0.6462847049844406,0.9641279435666696,0.9641288457599594,0.9641279980688302,0.9807087299355125,0.03515375879082622,0.03515375879082622
1.54,0.0,0.3181818181818182,0.0,0.38986754865990414,0.9567767876730181,0.865,0.6590542483976447,0.9641240636935279,0.9641250124581215,0.964124111993918,0.9823067802084279,0.035211865722147545,0.035211865722147545
1.55,0.0,0.3181818181818182,0.0,0.38987364462523927,0.9564941425137425,0.865,0.6591697217165718,0.9641198841851578,0.9641208811127939,0.9641199262711495,0.9837712098971299,0.03526520663041471,0.03526520663041471
1.56,0.0,0.3181818181818182,0.0,0.3898794234131505,0.9562002024436244,0.87,0.6728516588771863,0.9641153812748251,0.9641164280859028,0.9641154173600409,0.9851127883728551,0.03531416794297462,0.03531416794297462
1.57,0.0,0.3181818181818182,0.0,0.38988489711659374,0.9558946029427504,0.87,0.672966512525898,0.9641105292856101,0.9641116278644442,0.9641105597753526,0.9863414751021262,0.03535910711609016,0.03535910711609016
1.58,0.0,0.3181818181818182,0.0,0.38989007752219335,0.9555769686535762,0.88,0.7010475568026509,0.9641053003637917,0.9641064526151832,0.9641053255662896,0.9874664689492506,0.03540035417536911,0.03540035417536911
1.59,0.0,0.3181818181818182,0.0,0.3898949758489939,0.955246913427657,0.88,0.7011491575646446,0.9640996645519928,0.9641008723780419,0.9640996845521219,0.9884962586350011,0.03543821370840912,0.03543821370840912
1.6,0.0,0.3181818181818182,0.0,0.38989960311567406,0.9549040403310711,0.88,0.7012546790522142,0.964093589250574,0.9640948547609886,0.9640936044952525,0.989438665357085,0.035472966895876944,0.035472966895876944
1.61,0.0,0.3181818181818182,0.0,0.3899039702610965,0.9545479417084823,0.88,0.7013642383683258,0.9640870396854594,0.9640883651133701,0.9640870506131929,0.9903009008316022,0.03550487272910554,0.03550487272910554
1.62,0.0,0.3181818181818182,0.0,0.3899080876158307,0.9541781992565077,0.88,0.7014779556443015,0.9640799785943723,0.9640813662283808,0.9640799856794032,0.9910896061874349,0.03553416974915943,0.03553416974915943
1.6300000000000001,0.0,0.3181818181818182,0.0,0.3899119652307474,0.9537943841650297,0.885,0.7169989066116725,0.9640723654133561,0.9640738176359163,0.9640723690409715,0.9918108861498939,0.03556107739414593,0.03556107739414593
1.6400000000000001,0.0,0.3181818181818182,0.0,0.389915612950627,0.9533960572539952,0.885,0.7171062299097394,0.9640641570680262,0.9640656763721946,0.9640641578080821,0.9924703609903924,0.035585797637969714,0.035585797637969714
1.6500000000000001,0.0,0.3181818181818182,0.0,0.3899190400871578,0.952982769130725,0.89,0.7329616412074578,0.9640553071568325,0.9640568960854191,0.964055305503256,0.993073194072872,0.03560851611467311,0.03560851611467311
1.6600000000000001,0.0,0.3181818181818182,0.0,0.38992225566840416,0.952554060441249,0.895,0.7490623359640204,0.964045765315744,0.9640474265052513,0.964045761800853,0.9936241239187049,0.035629403376298226,0.035629403376298226
