psi_deg,x1,x2,slope_x2_over_x1,selector_switch,switch_transition,t_switch,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,predicted_switch_delta,predicted_switch_delta_normalized,on_to_off_condition_value,E_on_at_switch,E_off_at_switch,actual_loss_change_switch_pm0p20,selector_model_relative_rms_over_time,switch_before_t_block
-152.5,-0.8870108331782217,-0.4617486132350339,0.5205670505517462,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-152.0,-0.882947592858927,-0.4694715627858907,0.5317094316614787,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-151.5,-0.8788171126619653,-0.4771587602596086,0.5429556996384372,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-151.0,-0.8746197071393957,-0.48480962024633717,0.5543090514527691,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-150.5,-0.8703556959398997,-0.49242356010346716,0.5657727781877702,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-150.0,-0.8660254037844387,-0.49999999999999994,0.5773502691896256,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-149.5,-0.8616291604415258,-0.5075383629607041,0.589045016420551,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-149.0,-0.8571673007021122,-0.5150380749100544,0.6008606190275606,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-148.5,-0.8526401643540922,-0.5224985647159489,0.6128007881399321,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-148.0,-0.848048096156426,-0.529919264233205,0.6248693519093276,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
