time,loss_full,loss_reduced,edot_full,edot_reduced,a_eta_cross,b_eta_cross,c_eta_cross,d_eta_cross,G_eta_cross,eta2G_eta_cross,abs_error_eta_cross,a_eta_sqrt,b_eta_sqrt,c_eta_sqrt,d_eta_sqrt,G_eta_sqrt,eta2G_eta_sqrt,abs_error_eta_sqrt,a_eta_formula,b_eta_formula,c_eta_formula,d_eta_formula,G_eta_formula,eta2G_eta_formula,abs_error_eta_formula
3.75,0.48299794739426083,0.48188666836772454,0.00023604674803331678,0.00047123403595788647,0.9336889922780355,-1.3176114927102285,-8.417444829027275,55.44102104298069,4.120978888874893,0.0004874560935082859,1.622205755039943e-05,0.9336889922780355,-0.1772698943519838,-1.1324730877127192,1.00352094936416,0.07459257728437857,0.0004874560935082862,1.6222057550399703e-05,0.9336889922780355,-0.4299086525076137,-2.7464335155128574,5.902130983881445,0.4387104841574574,0.000487456093508286,1.622205755039954e-05
3.7600000000000002,0.483000441902114,0.4818915093242576,0.0002631834266300421,0.0004972736603134819,0.9337186461070295,-1.3029521257386716,-8.42837265938142,55.29989637703811,4.345466257350294,0.0005140099144886331,1.6736254175151247e-05,0.9337186461070295,-0.17529764042987386,-1.1339433051046388,1.000966494989382,0.07865595441731499,0.0005140099144886332,1.6736254175151355e-05,0.9337186461070295,-0.42512561233513196,-2.749999034520831,5.887107157700397,0.46260892303976964,0.0005140099144886329,1.673625417515103e-05
3.77,0.4830032083023031,0.48189661146091195,0.00029032977220757266,0.000523358809519047,0.9337479510595899,-1.28821950188365,-8.439188743539436,55.1575659019994,4.570352169136282,0.0005406108777549544,1.725206823590742e-05,0.9337479510595899,-0.17331553061316665,-1.1353984882952846,0.9983902146332975,0.08272654546070757,0.0005406108777549542,1.7252068235907203e-05,0.9337479510595899,-0.42031866999707906,-2.753528093117775,5.8719549636954325,0.4865497899794591,0.0005406108777549545,1.725206823590753e-05
3.7800000000000002,0.48300623759697997,0.4819019655870429,0.00031595559325984845,0.000547881565429317,0.9337769159701683,-1.2734199235647137,-8.449896368594496,55.01409081381288,4.781723322043135,0.0005656132277438057,1.7731662314488623e-05,0.9337769159701683,-0.1713244128219463,-1.1368390795262906,0.9957932159850327,0.08655250999099359,0.0005656132277438058,1.773166231448873e-05,0.9337769159701683,-0.41548988183913144,-2.757021763812396,5.856680916654627,0.5090519049694251,0.0005656132277438057,1.7731662314488623e-05
3.79,0.4830095237973816,0.4819075652792623,0.00034167725760817603,0.0005723317412470801,0.9338055484845589,-1.2585546990215544,-8.460498704768995,54.86950527841555,4.992472648293415,0.0005905420240452864,1.8210282798206243e-05,0.9338055484845589,-0.1693244630652361,-1.1382655053156343,0.9931761174717537,0.09036721902733286,0.000590542024045286,1.8210282798205918e-05,0.9338055484845589,-0.410639674712122,-2.760481080980946,5.8412886538096105,0.5314878216407575,0.000590542024045286,1.8210282798205918e-05
3.8000000000000003,0.48301306250522463,0.4819134052530918,0.00036654660844855644,0.000596141274605884,0.9338338555760646,-1.2436228433674525,-8.470998773622345,54.72383308596439,5.1976816550225,0.0006148154754436714,1.8674200837787364e-05,0.9338338555760646,-0.16731554883753985,-1.139678172180351,0.9905393497118089,0.09408164443611461,0.0006148154754436714,1.8674200837787364e-05,0.9338338555760646,-0.40576772726842675,-2.763907030494103,5.825780707808951,0.5533339278993044,0.0006148154754436715,1.8674200837787472e-05
3.81,0.4830168479426721,0.4819194813538034,0.0003907772318432164,0.0006192970557505958,0.9338618473897755,-1.2286273059987223,-8.481399627969797,54.577090878112735,5.397234985651172,0.0006384199368150757,1.9122881064479944e-05,0.9338618473897755,-0.16529806694715482,-1.1410774908426,0.9878832139306709,0.0976936981832131,0.0006384199368150757,1.9122881064479944e-05,0.9338618473897755,-0.4008750018334368,-2.7673006084206615,5.810158850287009,0.574577943133568,0.0006384199368150756,1.9122881064479835e-05
3.8200000000000003,0.48302087071501026,0.4819257840362926,0.00041404429891877387,0.0006414819446214757,0.933889530908622,-1.213573947093241,-8.491704107927543,54.42934543151697,5.5883921308905276,0.0006610312429579258,1.9549298336450052e-05,0.933889530908622,-0.16327280581549283,-1.14246384340826,0.9852089188321541,0.10115377514896065,0.000661031242957926,1.954929833645027e-05,0.933889530908622,-0.3959634104587612,-2.7706627414302285,5.794430190141948,0.5949281186621329,0.0006610312429579254,1.9549298336449727e-05
3.83,0.483025124928733,0.4819323074788676,0.0004375730403261287,0.000663975547485269,0.9339169131084059,-1.1984643642286505,-8.501914845462403,54.28062978088572,5.782222360440274,0.0006839587388388691,1.9983191353600176e-05,0.9339169131084059,-0.16123998037876333,-1.143837583979039,0.9825170623674061,0.10466223679548117,0.0006839587388388693,1.9983191353600393e-05,0.9339169131084059,-0.39103347440006236,-2.7739942882776925,5.7785982441772745,0.6155628649549822,0.0006839587388388691,1.9983191353600176e-05
3.8400000000000003,0.48302961748121276,0.48193905895372446,0.0004612421893298028,0.0006866177538247326,0.9339440060550349,-1.1832945224638955,-8.512034382650421,54.13086071001813,5.977335089357064,0.0007070379370575929,2.042018323286025e-05,0.9339440060550349,-0.1591990477807613,-1.1451990545628459,0.9798061382654507,0.10819391257042427,0.0007070379370575926,2.0420183232860035e-05,0.9339440060550349,-0.3860838771417499,-2.7772960783884884,5.762654153376539,0.6363341433518336,0.0007070379370575929,2.042018323286025e-05
3.85,0.4830343411473845,0.481946031205689,0.0004835504763492772,0.0007078806589223693,0.9339708154563956,-1.168068195054336,-8.522065139931946,53.98008682328221,6.160518659495459,0.0007287060770559858,2.082541813361652e-05,0.9339708154563956,-0.15715051567080726,-1.1465485808028673,0.9770770262990737,0.11150966229427386,0.0007287060770559862,2.0825418133616955e-05,0.9339708154563956,-0.38111584981692814,-2.7805689015009074,5.746603092055456,0.6558354693503874,0.000728706077055986,2.082541813361674e-05
3.8600000000000003,0.4830392844953974,0.4819532126862521,0.000505253753213345,0.0007285373316271102,0.9339973450241024,-1.152790653326507,-8.532009315736596,53.8283963346614,6.338458666103735,0.0007497539743733608,2.1216642746250546e-05,0.9339973450241024,-0.15509509324694878,-1.1478864584732282,0.9743313232025838,0.11473049987991224,0.000749753974373361,2.1216642746250763e-05,0.9339973450241024,-0.3761311123475168,-2.7838134749158545,5.730454451283583,0.6747785769360246,0.0007497539743733607,2.1216642746250437e-05
3.87,0.4830444394834266,0.4819605953391033,0.0005259919724718412,0.0007482275192118506,0.9340236005444349,-1.137465400581547,-8.541869273327046,53.67584455028164,6.508041836144004,0.0007698133708958095,2.158585168395889e-05,0.9340236005444349,-0.15303325183918415,-1.1492130055244982,0.9715700300552356,0.11780007292516806,0.0007698133708958095,2.158585168395889e-05,0.9340236005444349,-0.37113080778628954,-2.787030569715759,5.714214118831261,0.6928320338062287,0.0007698133708958097,2.1585851683959107e-05
