psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-76.3,True,-0.0021474448515438173,0.002147444851543818,0.014165952593166553,0.0007197146967638588,0.0002976093770852054,0.014270390105121988,1,True,0.014270390105121988,0.7074586311919319,4.162782530452406,4.16,4.16
-76.2,True,-0.0021515727029087113,0.0021515727029087104,0.014091409326787485,0.0007136169606280136,0.00029443279029786173,0.014195396882962785,1,True,0.014195396882962785,0.7079183938814224,4.169360014636988,4.17,4.17
-76.1,True,-0.0021556536205748216,0.002155653620574821,0.01401686601515062,0.000707623897504293,0.0002912658677249485,0.014120404384570517,1,True,0.014120404384570517,0.7084103993616312,4.176000901670807,4.18,4.18
-76.0,True,-0.002159803267011285,0.0021598032670112847,0.013942353733891799,0.0007017685145206483,0.0002881512924888239,0.01404545811327268,1,True,0.01404545811327268,0.708914509591112,4.182581539782664,4.18,4.18
-75.9,True,-0.002163776265639512,0.0021637762656395126,0.013867878952660062,0.0006958536890444614,0.00028502003105741096,0.013970532608833408,1,True,0.013970532608833408,0.7094222984913806,4.189269430598748,4.19,4.19
-75.8,True,-0.0021677009452256138,0.0021677009452256133,0.013793409622877562,0.000690042448317781,0.00028186322628879525,0.013895613130826212,1,True,0.013895613130826212,0.7099891134981875,4.196019273546506,4.2,4.2
-75.7,True,-0.0021715704990645495,0.00217157049906455,0.01371897389399962,0.000684280999235596,0.0002786186549894364,0.013820742140939646,1,True,0.013820742140939646,0.7106462197105302,4.2027890733979145,4.2,4.2
-75.6,True,-0.00217538633488613,0.0021753863348861298,0.013644581423534419,0.0006785350602956518,0.0002756146459165316,0.013745899533925743,1,True,0.013745899533925743,0.7111410881100868,4.209587096417568,4.21,4.21
-75.5,True,-0.002179153488066805,0.002179153488066805,0.013570200098314444,0.0006729115368656229,0.00027251335649703355,0.013671068206717596,1,True,0.013671068206717596,0.7117556789437107,4.216452371169142,4.22,4.22
-75.4,True,-0.0021829072998203816,0.0021829072998203825,0.013495848559454182,0.0006673712824121064,0.00026936172390679526,0.013596280360476165,1,True,0.013596280360476165,0.7124455719081455,4.2233134397249215,4.22,4.22
-75.3,True,-0.002186649655337766,0.002186649655337766,0.013421552126355984,0.0006619160563660624,0.00026616407351200393,0.0135215334070109,1,True,0.0135215334070109,0.7132100290230615,4.230169767527406,4.23,4.23
-75.2,True,-0.0021902218326725915,0.0021902218326725915,0.013347272828453216,0.0006564488016647151,0.00026312597101118976,0.013446803153778053,1,True,0.013446803153778053,0.7138612554088346,4.237175113843943,4.24,4.24
-75.1,True,-0.0021938112783807828,0.0021938112783807828,0.013273013461824523,0.0006511023717568399,0.0002600023558366957,0.013372107218558194,1,True,0.013372107218558194,0.7146295612761998,4.244161710651226,4.24,4.24
-75.0,True,-0.0021973097654217253,0.0021973097654217257,0.013198826621602766,0.0006457646275524955,0.0002569369235049224,0.013297469083695057,1,True,0.013297469083695057,0.7153689132316784,4.251198188794727,4.25,4.25
-74.9,True,-0.0022007341570625897,0.0022007341570625893,0.01312466275875962,0.0006404968084143781,0.00025386996634775734,0.013222853820352154,1,True,0.013222853820352154,0.716145575269971,4.258303706902585,4.26,4.26
-74.8,True,-0.0022040902051550515,0.002204090205155051,0.013050524301390143,0.0006352920977562421,0.0002508051775269456,0.013148264409952759,1,True,0.013148264409952759,0.7169552547751703,4.265465683593653,4.2700000000000005,4.2700000000000005
-74.7,True,-0.002207486069242804,0.0022074860692428036,0.012976440540311107,0.0006302075112662123,0.00024777017056786844,0.013073743026834506,1,True,0.013073743026834506,0.7177944545808036,4.2725933539580785,4.2700000000000005,4.2700000000000005
-74.6,True,-0.002210765998433799,0.0022107659984337983,0.012902405730081723,0.0006251565380946617,0.0002445748148564484,0.012999256962906214,1,True,0.012999256962906214,0.7187926892291802,4.2797948499118865,4.28,4.28
-74.5,True,-0.0022139607140126217,0.0022139607140126217,0.012828401598602046,0.0006201626034522071,0.00024152781373364823,0.012924801635366245,1,True,0.012924801635366245,0.7197046538797078,4.287087900096661,4.29,4.29
-74.4,True,-0.002217100069812944,0.002217100069812945,0.012754430549630436,0.0006152205805426535,0.00023849007715215842,0.01285038881538586,1,True,0.01285038881538586,0.7206429660886173,4.294412269126483,4.29,4.3
-74.3,True,-0.0022201841746207606,0.00222018417462076,0.012680535499955847,0.0006103323162705079,0.00023546126773812352,0.012776044755042182,1,True,0.012776044755042182,0.7216090637361461,4.3017690901575,4.3,4.3
-74.2,True,-0.002223224545307445,0.0022232245453074457,0.012606679143751576,0.0006055235556981825,0.00023244036044200262,0.012701736803532704,1,True,0.012701736803532704,0.7226129240592299,4.309164372431825,4.3100000000000005,4.3100000000000005
