t,A2,E,dE,core_mass,angle_u,angle_w,S,weak_fit,f1,f2,m,z,l,log_u_A,direction_error,c_error,B_movement,D_movement,loss,balance_error,strong_boundary,weak_boundary,J_D_observed,J_B_observed,J_p_observed,Gamma_core_observed,norm_factor_observed,min_core_a
2.7601700000000022,0.137760611206596,0.49009386047878595,4.3617413442826354e-05,0.11273483849568912,0.26329155573600888,0.2632914106866544,0.16775135681571182,0.0099926879692816949,0.0086381721743070301,0.0099930333695404418,0.13776061116765467,7.5113331118391629e-07,3.9075966762563891e-08,1.3998002757900589e-10,0,1.301738200687011e-08,1.3626033381886068e-09,5.3432416782207609e-08,0.18586419335528476,5.4660535814522975e-22,0,530,5.3826760474839014e-07,1.36630380101495e-08,1.4508380998679876e-07,7.4338513900151781e-08,0.99999999986217625,0.0001659116357225639
2.7801700000000023,0.14015352006447307,0.49009474060730523,4.4396686303117567e-05,0.11469304840235776,0.26113586416788614,0.2611357175770127,0.17014426567459623,0.0099926879380490708,0.0087403937918032627,0.0099930374252467143,0.14015352002472312,7.5005209639235551e-07,3.9152697665186745e-08,1.4049383879487446e-10,0,1.325608724691304e-08,1.3724176687103635e-09,5.4472199077486528e-08,0.18483399472331258,5.4682119584329276e-22,0,536,5.4869287648944658e-07,1.3762041199693254e-08,1.466258985944725e-07,7.4752962930801914e-08,0.99999999986170729,0.00016734637888178512
2.8001700000000023,0.14258112063293882,0.49009563639575199,4.5183385998913264e-05,0.11667964787813073,0.25900216671173121,0.25900201856904864,0.17257186624401274,0.0099926879062922566,0.0088432099470047848,0.0099930415041802646,0.14258112059235209,7.4895441072000781e-07,3.9228911333793908e-08,1.4099921231575497e-10,0,1.3497514164747622e-08,1.3822302152901017e-09,5.552853234299098e-08,0.18379178613306424,5.4786413836411544e-22,0,539,5.5928358350619996e-07,1.3861044389237009e-08,1.4817828328788642e-07,7.5166593505038293e-08,0.99999999986125288,0.00016878946090795078
2.8201700000000023,0.14504367672248103,0.49009654799142177,4.5977386917457353e-05,0.11869485280933266,0.25689033547400758,0.25689018576918188,0.17503442233448249,0.0099926878739986548,0.0089466165690753243,0.0099930456061705052,0.14504367668106694,7.4784006936972961e-07,3.9304634561414856e-08,1.4134915461316621e-10,5.6191407546296131e-07,1.3741665954430609e-08,1.3920409484871896e-09,5.660160090041179e-08,0.18273758113770891,5.4890700509514485e-22,0,541,5.7004156788255535e-07,1.3960047578780763e-08,1.4974100837059303e-07,7.5579411062953739e-08,0.99999999986081334,0.00017024082456253516
2.8401700000000023,0.14754144561261193,0.49009747553901317,4.677855512950159e-05,0.12073887373773171,0.25480024182651045,0.25480009054916464,0.17753219122556282,0.0099926878411672852,0.0090506093684506218,0.0099930497310403311,0.14754144557032356,7.4670888825102217e-07,3.937989379228375e-08,1.4193990428465293e-10,0,1.3988545103957309e-08,1.4018498386461895e-09,5.7691588377819846e-08,0.18167139919708991,5.4994979603638082e-22,0,544,5.8096866477541469e-07,1.4059050768324516e-08,1.5131411663710933e-07,7.5991419823395745e-08,0.99999999986038879,0.00017170040953825997
2.8601700000000023,0.15007467770732877,0.49009841918046365,4.7586748497286248e-05,0.12281191557862255,0.2527317564504592,0.25273160359017516,0.18006542332124975,0.0099926878077925239,0.0091551838338946798,0.0099930538786042068,0.1500746776642051,7.4556068411469356e-07,3.9454715127629948e-08,1.4230638890513378e-10,2.6863450374185959e-07,1.4238153378819704e-08,1.4116568558179143e-09,5.8798677595644681e-08,0.1805932658289631,5.5227588406867957e-22,0,546,5.9206670127498335e-07,1.4158053957868271e-08,1.5289764933285168e-07,7.6402625004412528e-08,0.99999999985997923,0.00017316815241764653
2.8801700000000023,0.15264361618548275,0.49009937905478418,4.840181636986798e-05,0.12491417733465206,0.25068474937927215,0.25068459492559203,0.18263436180030912,0.0099926877738664762,0.0092603352297027357,0.0099930580486664537,0.15264361614147809,7.4439527465713666e-07,3.9529124331718758e-08,1.4275702843089337e-10,1.5910086411284374e-07,1.4490491800626717e-08,1.4214619698734605e-09,5.9923050449931576e-08,0.17950321275856579,5.5391658799551198e-22,0,548,6.0333749523804354e-07,1.4257057575980564e-08,1.5449164611385845e-07,7.6813029603606253e-08,0.99999999985958488,0.00017464398663270475
2.9001700000000024,0.1552484966463219,0.49010035529788765,4.9223599501430736e-05,0.12704585180580225,0.248659090040042,0.24865893398247019,0.18523924226201879,0.0099926877393851435,0.0093660585928354682,0.0099930622410219355,0.15524849660142528,7.4321247864701891e-07,3.9603146837562485e-08,1.432296503725439e-10,5.7093036355578949e-07,1.4745560632567233e-08,1.4312651505033986e-09,6.10648877922936e-08,0.17840127806571338,5.5782910028467357e-22,0,553,6.1478285408722182e-07,1.4356061408377127e-08,1.5609614500612222e-07,7.7222638616980532e-08,0.99999999985920607,0.00017612784242584218
2.9201700000000024,0.15788954675048975,0.49010134804241484,5.0051929925924214e-05,0.12920712529561598,0.24665464729373249,0.24665448962173703,0.1878802923670502,0.0099926877043407681,0.0094723487303138704,0.009993066455456466,0.15788954670471259,7.4201211603936327e-07,3.9676807752614912e-08,1.4362322443482994e-10,2.4530407239726677e-07,1.5003359358209089e-08,1.4410663671773823e-09,6.2224369307133475e-08,0.17728750632953152,5.6029178906070631e-22,0,556,6.264045735840341e-07,1.4455065455057958e-08,1.5771118236472236e-07,7.7631454820092927e-08,0.99999999985884291,0.00017761964681207892
2.9401700000000024,0.16056698585678691,0.4901023574175582,5.0886630847402278e-05,0.13139817731384393,0.24467128947411543,0.24467113017712966,0.19055773147462671,0.0099926876687290028,0.0095792002165530094,0.0099930706917472443,0.16056698581008541,7.4079400811350266e-07,3.9750131863726002e-08,1.4394685444655473e-10,1.8848643661548969e-07,1.5263886666446122e-08,1.4508655891420927e-09,6.3401673385849321e-08,0.17616194877028207,5.6275440304477281e-22,0,561,6.3820443657213622e-07,1.455406950173879e-08,1.593367928326803e-07,7.8039482653835535e-08,0.99999999985849508,0.00017911932354265425
2.9601700000000024,0.16328102465501887,0.49010338354888228,5.1727516424449978e-05,0.13361918027614242,0.24270888442546951,0.24270872349289396,0.19327177027392292,0.0099926876325456826,0.0096866073909172446,0.0099930749496644124,0.16328102460743671,7.3955797759506109e-07,3.9823143642448677e-08,1.4429257789647282e-10,2.9047710731056223e-07,1.5527140430787317e-08,1.4606627855364098e-09,6.4596976998132943e-08,0.1750246633878447,5.6713017725964199e-22,0,563,6.501842116900492e-07,1.4653073548419622e-08,1.6097300929959299e-07,7.8446724671721313e-08,0.99999999985816312,0.00018062679307011376
2.9801700000000024,0.16603186479527868,0.49010442655814873,5.2574391827041023e-05,0.13587029920057225,0.24076729953906242,0.24076713696026661,0.19602261041511818,0.0099926875957816099,0.0097945643552234223,0.0099930792289642002,0.16603186474678988,7.3830384878084407e-07,3.9895867249563054e-08,1.4464107690395301e-10,3.0719530773294425e-07,1.5793117693960011e-08,1.4704579252878742e-09,6.5810455560471392e-08,0.17387571509683761,5.6876703595006201e-22,0,567,6.6234565205699388e-07,1.4752077595100452e-08,1.6261986286011679e-07,7.8853183649307823e-08,0.99999999985784715,0.00018214197251496513
3.0001700000000024,0.16881969851403145,0.49010548656312852,5.3427053029979369e-05,0.13815169140167755,0.23884640178843763,0.23884623755276185,0.19881044413476331,0.0099926875584337906,0.0099030649716448337,0.0099930835293963096,0.16881969846461273,7.3703144767371342e-07,3.9968326539843183e-08,1.4493239942565684e-10,3.6530645704660602e-07,1.606181464976699e-08,1.480250977110656e-09,6.7042282801765445e-08,0.17271517585758289,5.7017920160793421e-22,0,568,6.7469049392910197e-07,1.4851081641781284e-08,1.6427738277223368e-07,7.9258862917264139e-08,0.99999999985754706,0.00018366477563399352
3.0201700000000025,0.17164470825739114,0.49010656367742106,5.4285286731624812e-05,0.14046350618213291,0.23694605776352823,0.23694589186028542,0.20163545387901641,0.0099926875204958809,0.010012102860434089,0.0099930878506989864,0.17164470820699118,7.3574060214312497e-07,4.0040545066238425e-08,1.4524259573878211e-10,5.1705096879295922e-07,1.6333226624897823e-08,1.490041909615282e-09,6.8292630626396094e-08,0.17154312480289952,5.7347071705546674e-22,0,574,6.8722045533109146e-07,1.4950085688462115e-08,1.6594559641548219e-07,7.9663764585014007e-08,0.99999999985726329,0.00018519511279032743
3.0401700000000025,0.17450706630200113,0.49010765801026523,5.5148870343698046e-05,0.14280588452266421,0.23506613370361981,0.2350659661220976,0.20449781192449226,0.0099926874819631535,0.010121671397952571,0.0099930921926024464,0.17450706625067766,7.3443114203202166e-07,4.0112546084197508e-08,1.4562051565641947e-10,0,1.6607348063720018e-08,1.4998306912196941e-09,6.9561668974353631e-08,0.17035964836010653,5.75934978188453e-22,0,580,6.9993723466047567e-07,1.5049090163711488e-08,1.6762452924902465e-07,8.0067891095048083e-08,0.99999999985699539,0.00018673289092534703
3.0601700000000025,0.17740693437395144,0.49010876966635458,5.6017571846288972e-05,0.14517895876990133,0.23320649552918685,0.23320632625864932,0.20739767999720979,0.0099926874428305727,0.010231763714865788,0.0099930965548269499,0.17740693432166219,7.3310289930909307e-07,4.0184352555492714e-08,1.4583201314264137e-10,4.3571566096584337e-07,1.6884172510160267e-08,1.5096172902482025e-09,7.0849565679030817e-08,0.16916484036817392,5.7757198500689292e-22,0,587,7.1284250926063216e-07,1.5148094638960857e-08,1.6931420476969598e-07,8.0471244334745506e-08,0.99999999985674404,0.00018827801353252729
3.0801700000000025,0.18034446326618844,0.49010989874565158,5.689114973738301e-05,0.14758285232359644,0.23136700887262329,0.2313668379023131,0.21033520889022198,0.009992687403090672,0.010342372694245375,0.0099931009370779894,0.1803444632129296,7.3175570822708485e-07,4.0255987151864774e-08,1.4614898181621812e-10,0,1.7163692591083749e-08,1.5194016749575456e-09,7.2156486322327222e-08,0.16795880218913978,5.7938685967454397e-22,0,590,7.2593793397688243e-07,1.5247099114210226e-08,1.7101464447002552e-07,8.0873826413530026e-08,0.99999999985650867,0.00018983038063330972
3.1001700000000025,0.18331979245489388,0.49011104534318367,5.7769353086180467e-05,0.15001767932249285,0.22954753910789361,0.22954736642703402,0.21331053807962796,0.009992687362742286,0.01045349097017737,0.0099931053390626794,0.18331979240065718,7.3038940545827969e-07,4.0327472258507427e-08,1.4634116142180886e-10,3.7431289813162299e-07,1.7445900001612583e-08,1.529183813412159e-09,7.3482594087414151e-08,0.16674164281390422,5.9404763667589506e-22,0,594,7.3922513968400598e-07,1.5346103589459595e-08,1.727258677962776e-07,8.1275638552646967e-08,0.99999999985629018,0.00019138988875509527
3.1201700000000026,0.18633304971533104,0.49011220954887647,5.8651921443869338e-05,0.15248354433003458,0.22774795137912571,0.22774777697692269,0.21632379534225835,0.0099926873217753443,0.01056511092632512,0.009993109760466256,0.18633304966012196,7.2900383023432124e-07,4.0398829977381906e-08,1.4669043758540709e-10,0,1.7730785487719761e-08,1.538963673572365e-09,7.4828049609154867e-08,0.1655134789616913,6.0387389612191956e-22,0,594,7.5270573178944259e-07,1.5445108064708968e-08,1.7444789210656972e-07,8.1676682306408566e-08,0.99999999985608756,0.00019295643091145261
3.1401700000000026,0.18938435073767892,0.49011339144734406,5.9538584679439411e-05,0.1549805420199655,0.22596811062817182,0.22596793449381616,0.21937509636595279,0.0099926872801869744,0.010677224694645467,0.0099931142009695838,0.18938435068148057,7.2759882452414123e-07,4.0470082129904729e-08,1.4685186401321129e-10,0,1.8018338831561498e-08,1.54874122335493e-09,7.6193010822185046e-08,0.16427443517292714,6.17981310766632e-22,0,597,7.6638128871656083e-07,1.5544112539958337e-08,1.761807326290467e-07,8.2076958451970938e-08,0.99999999985590216,0.00019452989658463456
3.1601700000000026,0.19247379874339535,0.49011459111770078,6.0429063196748514e-05,0.15750875686241,0.2242078816211597,0.22420770374382926,0.22246454437280302,0.0099926872379743938,0.010789824154231551,0.0099931186602461794,0.19247379868619999,7.2617423315736162e-07,4.0541250260413575e-08,1.4701040386115106e-10,3.6530645704660602e-07,1.8308548837102442e-08,1.5585164305529439e-09,7.7577632807025474e-08,0.16302464389504459,6.3034910551161474e-22,0,601,7.8025336036735446e-07,1.5643117015207706e-08,1.7792440242024166e-07,8.247646854364632e-08,0.99999999985573318,0.0001961101717104967
3.1801700000000026,0.1956014841026707,0.49011580863338,6.1323067801140511e-05,0.16006826281078462,0.22246712897405982,0.22246694934292147,0.22559222973317777,0.0099926871951294804,0.010902900930451934,0.0099931231379522395,0.1956014840444571,7.2472990400098232e-07,4.0612355638104049e-08,1.4724177433951698e-10,0,1.8601403314168585e-08,1.5682892629007468e-09,7.8982067634100435e-08,0.16176424556090585,6.0722573420139608e-22,0,606,7.9432346655833972e-07,1.5742121490457079e-08,1.7967891232358975e-07,8.2875213136546222e-08,0.99999999985558052,0.0001976971386659102
