cell_id,mu2,sigma,time,phi_root_deg,phi_cohort_deg,eta1_actual,eta2_actual,eta1_ideal,eta2_ideal,eta1_root_fixed,eta2_root_fixed,eta1_cohort_fixed,eta2_cohort_fixed
mu2_1p800__sigma_0p150,1.8,0.15,8.02,84.18166960524026,86.20241417871661,0.10758629099138904,0.09285316460276669,0.06555384459421074,0.06608339114154951,0.1204938814542265,0.11865914585922897,0.08817933667746303,0.08773853504755319
mu2_1p800__sigma_0p150,1.8,0.15,8.27,84.13198546217332,86.14024075521424,0.10853588534866415,0.09448794830924369,0.06555384459421074,0.06608339114154951,0.12050691754860356,0.1187197473431915,0.08897671332598144,0.08851653456895628
mu2_1p800__sigma_0p150,1.8,0.15,8.52,84.11859196852043,86.08120922285381,0.10944191321528735,0.09608518580040719,0.06555384459421074,0.06608339114154951,0.12228356991256403,0.12685449319275396,0.09005533904124217,0.08956750980870189
mu2_1p800__sigma_0p150,1.8,0.15,8.77,84.11278599928161,86.02503582650202,0.11030885229281091,0.09764501684571052,0.06555384459421074,0.06608339114154951,0.12228356991256403,0.12685449319275396,0.09141133369506588,0.09088660979185874
mu2_1p800__sigma_0p150,1.8,0.15,9.02,84.10767888258184,85.97143412545972,0.11113980830363598,0.09916792504181399,0.06555384459421074,0.06608339114154951,0.12228356991256403,0.12685449319275396,0.09298885578395748,0.09241835759517704
mu2_1p800__sigma_0p150,1.8,0.15,9.27,84.10532139967111,85.9202108638836,0.11193735381052707,0.10065416187776632,0.06555384459421074,0.06608339114154951,0.12228356993647096,0.1268544933007714,0.0946708621428988,0.09404818353974184
mu2_1p800__sigma_0p150,1.8,0.15,9.52,84.07940703199476,85.87117159076087,0.112703434773062,0.10210448368434365,0.06555384459421074,0.06608339114154951,0.12229415215906686,0.1269026963069188,0.09467153473846181,0.09404883428514811
mu2_1p800__sigma_0p150,1.8,0.15,9.770000000000001,84.07692723463092,85.82418766054836,0.11344004125893518,0.10352009849807092,0.06555384459421074,0.06608339114154951,0.12229415215906686,0.1269026963069188,0.09629409014280305,0.09561758238933485
mu2_1p800__sigma_0p180,1.8,0.18,3.5100000000000002,88.45569118117766,87.769410868426,0.07573628494612433,0.05879329687754244,0.07802777779031551,0.07894138514620869,0.07826720042596338,0.07885948480786856,0.07834190401540696,0.07878523385969645
mu2_1p800__sigma_0p180,1.8,0.18,3.7600000000000002,87.41910213088414,87.84174419004839,0.07776233816595363,0.053957383625697,0.07802777779031551,0.07894138514620869,0.07835617935726444,0.07875136659076852,0.07834188215115309,0.07878527152250026
mu2_1p800__sigma_0p180,1.8,0.18,4.01,86.19858485793446,87.75865218025525,0.07949501092763527,0.060454160845897095,0.07802777779031551,0.07894138514620869,0.09601320690035228,0.09549430755531466,0.07834190401540696,0.07878523385969645
mu2_1p800__sigma_0p180,1.8,0.18,4.26,85.24022444533628,87.59672205077781,0.08470900297047324,0.06536008364066948,0.07802777779031551,0.07894138514620869,0.10982288312665645,0.10890563561405502,0.0783439161140093,0.07878138458484489
mu2_1p800__sigma_0p180,1.8,0.18,4.51,84.58526576613654,87.40468791115504,0.08865199175362677,0.06924624499019069,0.07802777779031551,0.07894138514620869,0.12075126355102024,0.11928211611492832,0.07835617935726437,0.07875136659076844
mu2_1p800__sigma_0p180,1.8,0.18,4.76,84.05675996779615,87.20812212013486,0.09188270941352683,0.07250341044785746,0.07802777779031551,0.07894138514620869,0.1281037774297993,0.12604059710056875,0.08457762943763189,0.08424264536360074
mu2_1p800__sigma_0p180,1.8,0.18,5.010000000000001,83.81323463820578,87.01982462663972,0.09469131532618238,0.0753823066997383,0.07802777779031551,0.07894138514620869,0.13236672606802763,0.12985580370425073,0.08788013360431904,0.08750474294332745
mu2_1p800__sigma_0p180,1.8,0.18,5.260000000000001,83.73758711623252,86.84435679760604,0.09721170878736234,0.07803462369093847,0.07802777779031551,0.07894138514620869,0.1343000838299701,0.13155558779341753,0.08865310183605699,0.08826724429777796
