t,tau,ell_loc,hgate_max,hgate_min,R_opnorm_max,min_input_radius,q01_input_radius,density_edge_lo,density_edge_hi,S
16.5,148.5,0.007651730736388997,0.0076217357247242625,-0.007941080830423474,0.0008279166000613841,0.014142135623730945,0.014142135623730945,7.04505303804517e-06,11.423008792607392,2.0625487698839917
16.75,150.75,0.007506648858049075,0.00747756245213174,-0.007787289168836187,0.000811022225098114,0.014142135623730945,0.014142135623730945,7.04524221425585e-06,11.137892005552686,2.0630790909480217
17.0,153.0,0.0073665675041231496,0.007337839525053298,-0.007638892322153277,0.0007947463458883216,0.014142135623730945,0.014142135623730945,7.045400796558504e-06,10.801437618383854,2.063601239598196
17.25,155.25,0.007230846529334127,0.007202488802663469,-0.007495631942903744,0.0007790601226866723,0.014142135623730945,0.014142135623730945,7.045529522283693e-06,10.497032464379686,2.064115446484996
17.5,157.5,0.007099398750982679,0.007071871663046452,-0.007357263107964128,0.0007639356913461225,0.014142135623730945,0.014142135623730945,7.045629148845999e-06,10.194712606594951,2.0646219336024965
17.75,159.75,0.006972927538481136,0.006946527979666871,-0.00722355668998763,0.0007493462359574808,0.014142135623730945,0.014142135623730945,7.045700449759894e-06,9.895095487301178,2.0651209146430456
18.0,162.0,0.00685107643696378,0.0068250661236703035,-0.007094296728517725,0.0007352660316826113,0.014142135623730945,0.014142135623730945,5.637151012004104e-06,9.576450192330896,2.0656125953419298
18.25,164.25,0.006732995312040193,0.006707381965959146,-0.006969279394478273,0.0007216704564254644,0.014142135623730945,0.014142135623730945,7.047189025410846e-06,9.287807500447496,2.066097173810148
18.5,166.5,0.0066185757263723674,0.0065933663127941584,-0.00684831395493555,0.0007085359983385322,0.014142135623730945,0.014142135623730945,7.047181696316926e-06,9.007020724956387,2.0665748408564757
18.75,168.75,0.00650770474337806,0.0064829054700047085,-0.00673121771671679,0.0006958402401989465,0.014142135623730945,0.014142135623730945,7.047148506264045e-06,8.70618182570811,2.067045780296083
19.0,171.0,0.00640026676095785,0.006375883083832412,-0.006617820839066526,0.000683561836558801,0.014142135623730945,0.014142135623730945,7.047090285770802e-06,8.43548922686873,2.067510169248525
19.25,173.25,0.006296142435839749,0.0062721790611407644,-0.0065079604101217865,0.0006716804852252608,0.014142135623730945,0.014142135623730945,5.63817819163285e-06,8.170107071985774,2.0679681784230537
19.5,175.5,0.006195211107827497,0.00617167200298167,-0.006401483785840443,0.000660176892730693,0.014142135623730945,0.014142135623730945,7.048367541624603e-06,7.913856344500762,2.0684199723916956
19.75,177.75,0.0060973512298895215,0.00607423963650041,-0.006298245977218292,0.0006490327360566942,0.014142135623730945,0.014142135623730945,7.04823740288273e-06,7.6597553629384825,2.0688657098516536
20.0,180.0,0.0060024397764106025,0.005979758221333669,-0.006198109014273134,0.0006382306251586965,0.014142135623730945,0.014142135623730945,5.639052366486043e-06,7.434600008239539,2.0693055438753563
