t,residual_norm,smooth_log_norm,loss_bound_log_norm,parameter_speed,gate_defect_0.0002,count_0.0002,gate_defect_0.0001,count_0.0001,gate_defect_1e-05,count_1e-05
0.8400000000000001,2.407644869268653,4.1276290881326245,5.112877625449732,1.7017181755108293,8.415723474696332e-07,36,5.055174436995288e-07,17,2.037053094179924e-07,4
0.86,2.3818070008334944,4.059757308657592,5.058008296049186,1.8160858733738003,1.099796048918009e-06,38,8.906664218872455e-07,26,3.07014489001176e-07,4
0.88,2.352163184670243,3.9813772066779056,4.995056651340857,1.9296976850770236,1.648746941594971e-06,36,7.896298919324625e-07,14,0.0,0
0.9,2.3184087984479915,3.8914307853460492,4.923375794965654,2.040131310076229,1.2424478419077548e-06,30,3.3923776361004583e-07,6,0.0,0
0.92,2.2803087412071226,3.7889556969195697,4.842466466234642,2.144511120141925,1.5035805503907772e-06,31,9.922546242312075e-07,17,2.8884856992628304e-07,1
0.9400000000000001,2.2377347775058984,3.6731663121157108,4.752056344204968,2.239557611290757,2.430074688288253e-06,32,1.512101279543875e-06,18,5.318317807597106e-07,1
0.9600000000000001,2.1907070102718977,3.5435484999888263,4.652188119478529,2.321695243812379,2.365626279558443e-06,25,1.7451098990264597e-06,9,1.495616327140061e-07,1
0.9800000000000001,2.1394355947146964,3.3999625675246685,4.543308077918588,2.3872270245512643,2.74097409263668e-06,34,1.7983242011008177e-06,15,0.0,0
1.0,2.0843567701922243,3.2427454514690712,4.4263426179657825,2.432576163079248,2.2723492027893722e-06,26,1.5318738299207506e-06,13,1.233289954283022e-07,2
1.02,2.0261555223649785,3.0728016882124267,4.302746376016873,2.4545828012658903,3.499046347293125e-06,29,2.349351446725705e-06,14,0.0,0
1.04,1.9657664267742785,2.891676522110888,4.174504017848566,2.4508263910931283,2.9793785309202963e-06,23,1.5553467776003716e-06,12,1.8490039410024478e-07,1
1.06,1.904345287326713,2.7016262934015307,4.044070010067976,2.419930462410844,3.281063063290866e-06,25,2.709883982274272e-06,16,8.975750751936635e-07,2
1.08,1.8432076698659687,2.505799910337787,3.9142380899296474,2.361797993571342,2.778851316517391e-06,22,2.2056976333973386e-06,13,0.0,0
1.1,1.7837363843701324,2.3092698078234544,3.7879447944151976,2.277727982556587,3.335930782426732e-06,23,2.174243571909659e-06,14,1.0137821217587933e-06,2
1.12,1.7272674837841702,2.1288238474316334,3.668027367212816,2.1703795288994026,4.4973016086048925e-06,25,2.456072236498244e-06,15,0.0,0
1.1400000000000001,1.67497140236816,2.043995958421517,3.556971343966399,2.0435790141219816,2.916663700674884e-06,14,2.381352627614106e-06,6,0.0,0
1.1600000000000001,1.627749795405918,2.029084326399376,3.4566914809530602,1.9019962233861498,4.6093888422417985e-06,21,3.17784111847029e-06,13,0.0,0
1.1800000000000002,1.586167301986599,2.024113551441919,3.3683868464416475,1.7507422715484429,3.6645177500745584e-06,19,1.6387589660593248e-06,8,8.887856673081491e-07,2
1.2,1.5504302441548703,2.0213727680901847,3.2924955861816776,1.5949545725214842,4.125415262737241e-06,15,3.6241486220606333e-06,8,2.3736761545134925e-06,1
1.22,1.520413189698603,2.0194207440170313,3.2287513321721675,1.4394307635952193,3.4038093831623684e-06,13,3.3696642640168717e-06,7,4.036086173250471e-07,1
1.24,1.4957232507165117,2.017807378409447,3.1763197471794853,1.2883557360231037,7.5812398178778855e-06,15,6.8914233987575144e-06,9,3.591207719995179e-06,1
1.26,1.4757849227982067,2.0163459208661614,3.133978689325157,1.1451417716681138,6.444413282250163e-06,23,2.988190103812599e-06,10,9.070390454145329e-07,2
1.28,1.4599271812202768,2.014943081110602,3.1003031696757035,1.0123780334168448,7.453205428212698e-06,25,6.504985266169008e-06,13,1.6771822059155436e-07,1
1.3,1.4474586194624004,2.0135453344793026,3.0738249164884928,0.8918686378125428,6.2061384526750555e-06,25,4.4650399828964124e-06,10,0.0,0
1.32,1.4377228832276632,2.0121181338040257,3.0531500949659196,0.7847305414307834,6.9360132955702164e-06,22,5.2267201304913785e-06,12,5.929276604436536e-07,3
1.34,1.4301330123629958,2.0106368290364505,3.037032235800171,0.6915139071676033,9.464436339719335e-06,18,7.108498425487738e-06,9,7.403804969280895e-07,1
1.36,1.4241874523244538,2.0090821410342885,3.0244062371407154,0.6123226711568455,1.2483005605754807e-05,28,6.807888180978043e-06,13,0.0,0
1.3800000000000001,1.4194725453575028,2.0074377760534987,3.0143936548678476,0.5469015792880527,9.009867714441618e-06,16,5.7547466586937596e-06,8,9.31594742364592e-09,1
1.4000000000000001,1.4156564631984019,2.0056890714903735,3.006289818069827,0.49468640404439995,1.2459771627206692e-05,20,6.704941177688429e-06,8,0.0,0
1.4200000000000002,1.412478653557302,2.003822172049937,2.9995414175813226,0.4548176405144943,1.1190098493674265e-05,25,5.662129946362585e-06,12,0.0,0
1.4400000000000002,1.4097377681964076,2.001823529645151,2.9937208700352484,0.42615001724808754,1.1003635029825441e-05,23,1.018781898464475e-05,12,7.440787448104961e-09,1
1.46,1.4072798929833545,1.9996795054101808,2.9885013231895443,0.40729208756821267,1.2661899367255494e-05,22,1.0466585717836863e-05,13,0.0,0
1.48,1.4049880443812828,1.9973761202865135,2.9836343506604894,0.3967041029228834,1.7861063726207126e-05,33,1.182337287228627e-05,15,1.924579233188494e-08,1
1.5,1.4027733423080349,1.9948988759944797,2.978931206595565,0.3928331235829058,1.3261756190983375e-05,27,9.931987008723532e-06,16,1.057882293033055e-06,1
1.52,1.400567866195451,1.9922326003949833,2.9742476547921304,0.39424662683083544,1.4091458192521758e-05,28,1.198345726046392e-05,17,1.3141965714319686e-06,1
1.54,1.398319055306194,1.9893613455673165,2.9694720772032963,0.39971994864098775,1.627017959129867e-05,26,1.2965652023842687e-05,13,6.524106821335417e-06,2
1.56,1.395985405268829,1.9862683155334064,2.9645163350944954,0.40827473685246424,1.417522320436917e-05,33,1.1867104791798753e-05,20,2.5649742775515813e-06,2
1.58,1.3935332100993643,1.9829356809062861,2.9593088503963885,0.41916432324793124,1.6772311414596626e-05,22,1.153527152143978e-05,11,1.3507364605404093e-06,1
1.6,1.3909341281491305,1.9793445163509085,2.95378943674877,0.43183865015731826,1.8316652105625814e-05,37,1.3679416511541017e-05,22,0.0,0
