index,time,phi_deg,dV_dphi,stable_root_count,branch_exists
615,6.15,84.39220933902811,-0.20515138066545013,1,1
616,6.16,84.39220972049762,-0.20486662252272297,1,1
617,6.17,84.39220933902766,-0.20458258600404086,1,1
618,6.180000000000001,84.39220972049716,-0.2042992422813811,1,1
619,6.19,84.3922093390272,-0.20401660675999334,1,1
620,6.2,84.39220972049671,-0.20373468943086845,1,1
621,6.21,84.39220933902675,-0.20345346417258336,1,1
622,6.220000000000001,84.39220972049625,-0.20317291546652516,1,1
623,6.23,84.3922093390263,-0.20289306576217314,1,1
624,6.24,84.39217386234148,-0.2026138750073766,1,1
625,6.25,84.39217424381098,-0.20233538059783754,1,1
626,6.260000000000001,84.39217386234102,-0.2020575724325369,1,1
627,6.2700000000000005,84.39217424381053,-0.20178043795708991,1,1
628,6.28,84.39217386234057,-0.20150398589033164,1,1
629,6.29,84.39217424381008,-0.20122821890071457,1,1
630,6.300000000000001,84.39217386234012,-0.20095314135585052,1,1
631,6.3100000000000005,84.39217424380962,-0.20067879633166774,1,1
632,6.32,84.39217386233966,-0.2004052299712526,1,1
633,6.33,84.39217424380917,-0.20013231586140132,1,1
634,6.340000000000001,84.3921738623392,-0.1998600654543243,1,1
635,6.3500000000000005,84.39217424380871,-0.1995884759021305,1,1
636,6.36,84.39217386233875,-0.1993175329044623,1,1
637,6.37,84.39217424380826,-0.19904723418881753,1,1
638,6.38,84.371434879184,-0.295303805758684,1,1
639,6.390000000000001,84.37143449771403,-0.29490591348886935,1,1
640,6.4,84.37143487918354,-0.29450898804584497,1,1
641,6.41,84.37143449771358,-0.2941130054643514,1,1
642,6.42,84.37143487918308,-0.29371797101122704,1,1
643,6.430000000000001,84.37143449771312,-0.29332388293623474,1,1
644,6.44,84.37143487918263,-0.2929307425854417,1,1
645,6.45,84.37143449771267,-0.2925385211669322,1,1
646,6.46,84.37143487918217,-0.2921472175231086,1,1
647,6.470000000000001,84.37143449771222,-0.29175684456635126,1,1
648,6.48,84.37143487918172,-0.29136738257964934,1,1
649,6.49,84.37143449771176,-0.2909788209331531,1,1
650,6.5,84.37143487918127,-0.2905911727010032,1,1
651,6.510000000000001,84.353389453766,-0.29018319657962804,1,1
652,6.5200000000000005,84.3533898352355,-0.2897974078294536,1,1
