psi_deg,x1,x2,slope_x2_over_x1,selector_switch_count,first_switch_time,first_switch_transition,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,selector_model_relative_rms_over_time
143.372446,-0.8025306530420124,0.5966108873696164,-0.7434119620330364,1,1.1558220015078164,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010368881368812671
143.422446,-0.8030509886118214,0.5959103201737458,-0.7420578875120428,1,1.1558266251179925,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010329135615926834
143.472446,-0.8035707126233684,0.5952092991662444,-0.7407055655663468,1,1.155831250019418,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010289367558730807
143.5,-0.8038568606172173,0.5948227867513413,-0.7399610750284876,1,1.155833799264713,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010267445991280688
143.522446,-0.8040898246808621,0.5945078248809686,-0.7393549907399025,1,1.155835876219681,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010249587006846927
143.572446,-0.8046083243889754,0.5938058978521225,-0.738006157596073,1,1.1558405037263775,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.01020980639817784
143.622446,-0.8051262113528478,0.5931035186142546,-0.7366590607175327,1,1.1558451325471124,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010170042907055529
143.672446,-0.8056434851780869,0.5924006877022558,-0.7353136947061716,1,1.1558497626894986,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010130320230495251
143.722446,-0.8061601454707651,0.5916974056513641,-0.7339700541830142,1,1.1558543941611572,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010090673503613106
143.772446,-0.8066761918374241,0.5909936729971577,-0.7326281337881178,1,1.1558590269697182,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.01005115974102908
143.822446,-0.8071916238850715,0.5902894902755608,-0.7312879281804919,1,1.1558636611228192,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010011879974408212
143.872446,-0.8077064412211835,0.5895848580228387,-0.7299494320380019,1,1.1558682966281075,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009973032046847912
143.922446,-0.8082206434537044,0.5888797767755997,-0.7286126400572831,1,1.1558729334932383,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009934983560907074
143.972446,-0.8087342301910467,0.5881742470707937,-0.7272775469536509,1,1.1558775717258751,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009898521277592352
144.0,-0.8090169943749473,0.5877852522924732,-0.7265425280053611,1,1.155880128350356,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009882418962753802
144.022446,-0.809247201042092,0.5874682694457123,-0.7259441474610128,1,1.1558822113336908,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00987097952601833
144.072446,-0.8097595556161907,0.5867618444379877,-0.7246124363317803,1,1.155886852324367,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009845457888473418
144.122446,-0.8102712935231619,0.5860549725855947,-0.7232824083367853,1,1.1558914947055934,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009819881595260581
144.172446,-0.8107824143732958,0.5853476544268452,-0.7219540582651843,1,1.1558961384850692,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009794250825728877
144.222446,-0.8112929177773507,0.5846398905003942,-0.7206273809243845,1,1.1559007836705024,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009768565777659163
144.272446,-0.811802803346557,0.5839316813452335,-0.7193023711399458,1,1.1559054302696097,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009742827332269046
144.322446,-0.812312070692614,0.583223027500696,-0.7179790237555053,1,1.155910078290117,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00971703567841266
144.372446,-0.8128207194276927,0.5825139295064523,-0.7166573336326866,1,1.1559147277397592,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00969118976858987
144.422446,-0.8133287491644349,0.5818043879025112,-0.715337295651017,1,1.1559193786262802,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0096652890359057
144.472446,-0.8138361595159539,0.5810944032292196,-0.7140189047078439,1,1.1559240309574335,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009639334709574033
144.5,-0.8141155183563191,0.5807029557109399,-0.7132930678970056,1,1.1559265953843196,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009625008336310777
144.522446,-0.8143429500958346,0.5803839760272617,-0.7127021557182514,1,1.1559286847409813,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009613325571893894
144.572446,-0.8148491205181342,0.5796731068376583,-0.7113870436149754,1,1.1559333399846952,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00958726140458272
144.622446,-0.8153546703973812,0.5789617962017682,-0.7100735633483259,1,1.1559379966963563,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009561141941512837
144.672446,-0.8158595993485783,0.5782500446612843,-0.7087617098860969,1,1.155942654883755,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009534968049413907
144.722446,-0.8163639069871992,0.5775378527582374,-0.7074514782134941,1,1.1559473145546912,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009508739303004625
144.772446,-0.8168675929291928,0.5768252210349915,-0.7061428633330439,1,1.155951975716974,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009482456743510942
144.822446,-0.8173706567909795,0.5761121500342471,-0.7048358602645216,1,1.1559566383784223,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0094561214861388
144.872446,-0.8178730981894541,0.5753986402990396,-0.703530464044867,1,1.155961302546865,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00942973149725391
144.922446,-0.8183749167419865,0.5746846923727364,-0.7022266697281002,1,1.1559659682301395,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009403286723233654
144.972446,-0.8188761120664191,0.5739703067990413,-0.700924472385252,1,1.1559706354360941,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009376786640113705
145.0,-0.8191520442889919,0.5735764363510459,-0.7002075382097095,1,1.1559732080935767,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009362159637705732
145.022446,-0.8193766837810708,0.5732554841219883,-0.6996238671042737,1,1.1559753041725862,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009350232476579318
145.072446,-0.8198766315047337,0.5725402248859474,-0.6983248489899687,1,1.1559799744474832,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009323623629952314
145.122446,-0.8203759548566761,0.571824529635619,-0.6970274131639069,1,1.1559846462686625,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009296958953783631
145.172446,-0.8208746534566417,0.5711083989160364,-0.69573155476435,1,1.1559893196440112,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009270239065033783
145.222446,-0.8213727269248496,0.5703918332725639,-0.6944372689461737,1,1.1559939945814264,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009243464415843039
145.272446,-0.8218701748819954,0.5696748332508978,-0.693144550880791,1,1.1559986710888155,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009216634501906984
145.322446,-0.8223669969492509,0.5689573993970645,-0.6918533957560744,1,1.1560033491740958,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009189752524472116
145.372446,-0.8228631927482639,0.5682395322574217,-0.6905637987762828,1,1.1560080288451946,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009162816915205521
145.422446,-0.8233587619011606,0.5675212323786555,-0.6892757551619801,1,1.1560127101100497,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009135826702971863
145.472446,-0.8238537040305426,0.5668025003077837,-0.687989260149968,1,1.156017392976609,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009108780999161084
145.5,-0.8241261886220157,0.5664062369248328,-0.6872809586016132,1,1.156019974298148,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009093853082319645
145.522446,-0.8243480187594908,0.5660833365921506,-0.6867043089932012,1,1.156022077452831,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009081680730677591
145.572446,-0.8248417057115626,0.5653637417794318,-0.6854208969607228,1,1.1560267635466839,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009054526785709822
145.622446,-0.8253347645107938,0.5646437164176297,-0.6841390193375833,1,1.1560314512661471,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00902731737012315
145.672446,-0.8258271947816989,0.5639232610550748,-0.6828586714247691,1,1.1560361406192101,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.009000052228506465
145.722446,-0.8263189961492706,0.5632023762404255,-0.6815798485391296,1,1.156040831613873,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008972732583770158
145.772446,-0.826810168238981,0.5624810625226665,-0.6803025460133034,1,1.1560455242581464,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008945358637005456
145.822446,-0.8273007106767813,0.5617593204511097,-0.679026759195646,1,1.1560502185600519,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008917931689690585
145.872446,-0.8277906230891016,0.5610371505753937,-0.6777524834501597,1,1.1560549145276215,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008890452623384039
145.922446,-0.8282799051028529,0.5603145534454812,-0.676479714156416,1,1.156059612168898,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008862919798448122
145.972446,-0.8287685563454249,0.5595915296116626,-0.6752084467094922,1,1.1560643114919353,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008835332566628867
