probe,time,x1,x2,loss,f1,f2,weak_gate_evolving_after_creation,weak_rep_angle_deg
pm,3.5900000000000003,2.995796162121622,-2.000985607909242,1.5736093343275488,2.931053765336808,-0.2281271559414446,0.0,89.22255553400171
pm,3.6,2.995796162121622,-2.000985607909242,1.5728718524059486,2.9308613441285303,-0.22855022848800594,0.0,89.21266017327669
pm,3.6100000000000003,2.995796162121622,-2.000985607909242,1.5721468780429066,2.9306658382492228,-0.22896647793403507,0.0,89.20275296814444
pm,3.62,2.995796162121622,-2.000985607909242,1.5714340673238634,2.930467222682383,-0.22937609553935448,0.0,89.19283504221134
pm,3.6300000000000003,2.995796162121622,-2.000985607909242,1.570733047798272,2.93026551781472,-0.22977928727540184,0.0,89.18290718005846
pm,3.64,2.995796162121622,-2.000985607909242,1.5700434326486152,2.9300608388648914,-0.23017626397253135,0.0,89.1729710674035
pm,3.6500000000000004,2.995796162121622,-2.000985607909242,1.5693648779248945,2.9298532899662275,-0.23056721287893564,0.0,89.16303151112652
pm,3.66,2.995796162121622,-2.000985607909242,1.5686970990209932,2.929642826050534,-0.230952293485852,0.0,89.15309200119694
pm,3.6700000000000004,2.995796162121622,-2.000985607909242,1.5680397734708629,2.9294295164184523,-0.2313316826233303,0.0,89.14315383873983
pm,3.68,2.995796162121622,-2.000985607909242,1.567392577439996,2.929213521478203,-0.23170555465454556,0.0,89.1332175278986
pm,3.6900000000000004,2.995796162121622,-2.000985607909242,1.5667551904826502,2.9289948921524784,-0.23207408629607498,0.0,89.12327801234883
pm,3.7,2.995796162121622,-2.000985607909242,1.5661273189990825,2.9287736525264747,-0.23243744028537616,0.0,89.1133367350206
pm,3.71,2.995796162121622,-2.000985607909242,1.5655086615498979,2.9285498600715765,-0.23279578270370446,0.0,89.10340198761261
pm,3.72,2.995796162121622,-2.000985607909242,1.5648989358147956,2.928323621859881,-0.23314926708461167,0.0,89.09347600034152
