psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-73.1,True,-0.002252930575966395,0.0022529305759663946,0.0008949986497038265,0.0005569833211256613,0.00020036119879950727,0.0011042351532025152,1,True,0.0011042351532025152,0.7354424657099196,4.393551457364684,4.39,4.39
-73.0,True,-0.0022557169644020283,0.0022557169644020283,0.0008809718437884362,0.0005534534458911159,0.00019612555892732338,0.0010884027073483904,1,True,0.0010884027073483904,0.7383523849166129,4.401177851502549,4.4,4.4
-72.9,True,-0.0022573617627605494,0.00225736176276055,0.0008669209491461993,0.000548879522107408,0.0001944807669015526,0.0010726568764753974,1,True,0.0010726568764753974,0.7383761686263439,4.40964513176739,4.41,4.41
-72.8,True,-0.0022600296569676866,0.0022600296569676858,0.0008530229924071375,0.0005454968616281741,0.00019025663532853737,0.0010569836234368135,1,True,0.0010569836234368135,0.7414125299906916,4.417385604748891,4.42,4.42
-72.7,True,-0.002261553572696174,0.0022615535726961734,0.0008392076388759051,0.000541341648554104,0.00018709312144272192,0.0010414379298726018,1,True,0.0010414379298726018,0.7431573434591306,4.425962103686052,4.43,4.43
-72.6,True,-0.002264102714236638,0.0022641027142366386,0.0008254442336976808,0.0005375569524534475,0.0001856984443573866,0.0010259452091344046,1,True,0.0010259452091344046,0.7432463757944753,4.433786438566306,4.43,4.43
-72.5,True,-0.0022665990353044467,0.0022665990353044467,0.0008118708995642487,0.0005343377881840338,0.0001814884797161978,0.0010106177786470827,1,True,0.0010106177786470827,0.7464629507819448,4.441644523796317,4.44,4.44
-72.4,True,-0.0022679354019361263,0.0022679354019361267,0.0007982774566605566,0.0005300843397014914,0.0001798742980797176,0.0009953074915396432,1,True,0.0009953074915396432,0.7466411583611858,4.450372136838111,4.45,4.45
-72.3,True,-0.002270309946887845,0.002270309946887845,0.0007848869947483239,0.0005269982367908654,0.00017567780666247375,0.0009801139310962603,1,True,0.0009801139310962603,0.7499874824263316,4.458339834680064,4.46,4.46
-72.2,True,-0.002271521927597923,0.0022715219275979224,0.0007714946915639564,0.0005231720420247831,0.0001725505012142481,0.0009650443682707177,1,True,0.0009650443682707177,0.7519837428137434,4.467183873343792,4.47,4.47
-72.1,True,-0.0022737748690401403,0.00227377486904014,0.0007582689996157854,0.0005199101260434393,0.00016988809625891142,0.0009499898896278558,1,True,0.0009499898896278558,0.753713345778316,4.475245866038727,4.48,4.48
-72.0,True,-0.002274861973546269,0.00227486197354627,0.0007451071836767631,0.0005162088988847464,0.00016677697147679787,0.0009351740639905182,1,True,0.0009351740639905182,0.7558119739892817,4.4841914692099305,4.48,4.48
-71.9,True,-0.0022769930765547705,0.00227699307655477,0.0007320644215036975,0.0005127996928720405,0.00016542316276251271,0.0009203091779216299,1,True,0.0009203091779216299,0.7560932053701717,4.492346864458805,4.49,4.49
-71.8,True,-0.0022790693275618434,0.0022790693275618434,0.0007191271652893239,0.0005099836086462899,0.0001612570326244879,0.0009056980935009951,1,True,0.0009056980935009951,0.7597627099586823,4.500538051681519,4.5,4.5
-71.7,True,-0.002279961131743551,0.0022799611317435515,0.0007062605945794553,0.0005061610828772695,0.0001596821269185568,0.0008910288342454109,1,True,0.0008910288342454109,0.7601805882085639,4.509650718809848,4.51,4.51
-71.6,True,-0.0022819112231648717,0.0022819112231648717,0.0006935100519249726,0.0005034663243465368,0.00015552960747459944,0.0008765688905766345,1,True,0.0008765688905766345,0.7639900339827695,4.517959348576244,4.5200000000000005,4.5200000000000005
-71.5,True,-0.0022826738404188663,0.002282673840418866,0.00068085238464477,0.0005000672467764338,0.00015245703410328654,0.0008621434356979041,1,True,0.0008621434356979041,0.7663580673231853,4.527184749965675,4.53,4.53
-71.4,True,-0.0022844988472091846,0.0022844988472091846,0.0006682846858671598,0.0004971688696073923,0.0001498279610507654,0.0008478393311914245,1,True,0.0008478393311914245,0.7684255100626183,4.535590009736221,4.54,4.54
-71.3,True,-0.0022851321997865745,0.0022851321997865745,0.0006558449684115897,0.0004938818745938642,0.00014677189282211655,0.0008336603121961716,1,True,0.0008336603121961716,0.7709029427640647,4.544925626190719,4.54,4.55
-71.2,True,-0.0022868309445886357,0.0022868309445886353,0.0006434763083275619,0.0004908187259443511,0.0001454648303060419,0.0008195350863947626,1,True,0.0008195350863947626,0.7713836403957013,4.553429536250677,4.55,4.55
-71.1,True,-0.0022884734382175066,0.0022884734382175066,0.0006312491294047651,0.0004883677813176195,0.00014134448185316615,0.0008056051146469456,1,True,0.0008056051146469456,0.775541163607875,4.561972869003069,4.5600000000000005,4.5600000000000005
-71.0,True,-0.002288904825267961,0.0022889048252679616,0.0006190895774383365,0.00048492477303937803,0.00013981697149307876,0.0007916461246662565,1,True,0.0007916461246662565,0.776200369645997,4.571481945849281,4.57,4.57
-70.9,True,-0.0022904194284710713,0.002290419428471071,0.000607042236471067,0.00048256972583378063,0.00013571490230758097,0.0007779050590906444,1,True,0.0007779050590906444,0.7804976929225034,4.580126955931141,4.58,4.58
-70.8,True,-0.002290717081002572,0.002290717081002572,0.0005951150786323023,0.00047954741140413416,0.00013270102262708363,0.0007641707938916831,1,True,0.0007641707938916831,0.7832562481975783,4.589753158595374,4.59,4.59
-70.7,True,-0.00229210048766053,0.0022921004876605305,0.0005832424359032973,0.0004769741883449566,0.00013011159378564872,0.0007506214295144864,1,True,0.0007506214295144864,0.7856784039168008,4.598517849627061,4.6000000000000005,4.6000000000000005
-70.6,True,-0.0022922631341444023,0.002292263134144402,0.0005715579781260249,0.0004740514788590575,0.00012711612374542887,0.0007371144536140739,1,True,0.0007371144536140739,0.788551273896475,4.60825933108235,4.61,4.61
-70.5,True,-0.002293516564269025,0.002293516564269025,0.0005598676027293026,0.0004715630562474784,0.000124539031636436,0.00072375942858105,1,True,0.00072375942858105,0.7910776791966397,4.617129044113982,4.62,4.62
-70.4,True,-0.002293543668664814,0.002293543668664814,0.0005484207232406835,0.0004687346983505308,0.00012156205839693743,0.0007104821585962595,1,True,0.0007104821585962595,0.7940661929658166,4.626988663036609,4.63,4.63
-70.3,True,-0.0022946657033377296,0.002294665703337729,0.0005369216277906763,0.0004660475124344198,0.0001203213912387693,0.0006973239827767763,1,True,0.0006973239827767763,0.7948025714101816,4.635963989067208,4.64,4.64
-70.2,True,-0.0022957296367884824,0.0022957296367884824,0.0005256923270710034,0.00046400097058279166,0.0001162706195166549,0.0006842647241493416,1,True,0.0006842647241493416,0.7996272409325976,4.6449828623262475,4.64,4.65
-70.1,True,-0.00229554578164467,0.0022955457816446704,0.0005144081179030424,0.0004609716854277286,0.0001148123401588947,0.0006713197446941988,1,True,0.0006713197446941988,0.8005982537603036,4.655027799554351,4.66,4.66
-70.0,True,-0.002296476872105117,0.0022964768721051164,0.0005033791911857044,0.00045900157548375104,0.0001107817367180671,0.0006584671727314362,1,True,0.0006584671727314362,0.8055721634072217,4.664155273959222,4.66,4.66
-69.9,True,-0.002296154064897038,0.002296154064897038,0.0004923322780505668,0.000456388225175291,0.0001078528030682372,0.0006457586702456886,1,True,0.0006457586702456886,0.8088533132658202,4.674322601601463,4.67,4.67
-69.8,True,-0.0022969515131622846,0.0022969515131622846,0.0004814979407166686,0.00045415823662520215,0.0001053273118598189,0.0006331071427323476,1,True,0.0006331071427323476,0.811742569321004,4.683561695518567,4.68,4.68
-69.7,True,-0.002296488238784642,0.0022964882387846415,0.00047069812871891603,0.0004516238021667553,0.00010241931844676491,0.0006206347151767044,1,True,0.0006206347151767044,0.8151419724635317,4.693851968333493,4.69,4.69
-69.6,True,-0.002297151095435674,0.002297151095435674,0.00046005446420271934,0.00044945934705474663,9.990893969702777e-05,0.0006081861053620075,1,True,0.0006081861053620075,0.8181385017912939,4.703204749669039,4.7,4.7
-69.5,True,-0.002296546384803277,0.0022965463848032774,0.0004495022443299912,0.0004470017725145422,9.702224733942411e-05,0.0005959516688791022,1,True,0.0005959516688791022,0.8216581551574358,4.7136209851696265,4.71,4.71
-69.4,True,-0.002297073341898349,0.0022970733418983496,0.0004390527441325287,0.0004448987677952445,9.452810600453021e-05,0.0005837079631728637,1,True,0.0005837079631728637,0.8247619638623764,4.723087586014019,4.72,4.72
-69.3,True,-0.0022963262339123595,0.00229632623391236,0.00042874611784782246,0.0004425101731151569,9.166321028392403e-05,0.0005717133061161062,1,True,0.0005717133061161062,0.8284017640477559,4.7336325544285005,4.73,4.73
-69.2,True,-0.0022967165113500602,0.0022967165113500602,0.00041849626575962695,0.00044017443826878345,9.052131091143428e-05,0.000559676369877804,1,True,0.000559676369877804,0.8294289881702174,4.7432154570896685,4.74,4.74
-69.1,True,-0.0022970463353782955,0.0022970463353782955,0.0004084236989441159,0.00043850469661283224,8.657378923541048e-05,0.000547921192979528,1,True,0.000547921192979528,0.835122193026907,4.752845251134003,4.75,4.75
-69.0,True,-0.0022960785364378555,0.002296078536437856,0.0003983882940303829,0.00043598243603325086,8.468952047942799e-05,0.0005360947576023567,1,True,0.0005360947576023567,0.837345723309825,4.763591415972737,4.76,4.76
-68.9,True,-0.002296270390247262,0.002296270390247262,0.0003885382410027671,0.00043424536489390913,8.129448588530333e-05,0.0005245455594624637,1,True,0.0005245455594624637,0.8423119264933044,4.7733395676357615,4.7700000000000005,4.7700000000000005
-68.8,True,-0.0022951572848356337,0.002295157284835634,0.0003787318803926132,0.0004320086051504365,7.848643506245352e-05,0.0005129663676623486,1,True,0.0005129663676623486,0.8462542652133846,4.784217281568889,4.78,4.78
-68.7,True,-0.0022952106926360997,0.0022952106926360997,0.0003690953923839446,0.0004300929495326595,7.605763414565963e-05,0.0005016263930954779,1,True,0.0005016263930954779,0.8497331889001681,4.794087654539703,4.79,4.79
-68.6,True,-0.0022939512723047692,0.0022939512723047692,0.00035953582224901304,0.0004279116103504607,7.327437698497483e-05,0.0004902951101772857,1,True,0.0004902951101772857,0.8537980333916768,4.805098206797688,4.8100000000000005,4.8100000000000005
-68.5,True,-0.002293865225471453,0.002293865225471453,0.0003501124687116386,0.00042604199132000725,7.086529893617554e-05,0.0004791674560950532,1,True,0.0004791674560950532,0.8573872826465464,4.815090856612238,4.82,4.82
-68.4,True,-0.002292459059092941,0.002292459059092941,0.0003408017873260394,0.0004239096701746806,6.810697928788566e-05,0.00046809308048573195,1,True,0.00046809308048573195,0.8615758646332813,4.826238964860168,4.83,4.83
-68.3,True,-0.0022922326711238947,0.0022922326711238947,0.00033159411824035256,0.00042207943558898687,6.571877906231399e-05,0.0004571820142643124,1,True,0.0004571820142643124,0.865274662578885,4.836354158777,4.84,4.84
-68.2,True,-0.0022906788505026687,0.0022906788505026687,0.00032252941229093945,0.0004199959668831953,6.29862984442113e-05,0.0004463548882671087,1,True,0.0004463548882671087,0.8695887965958464,4.847641017238471,4.8500000000000005,4.8500000000000005
-68.1,True,-0.0022903118273718687,0.002290311827371869,0.0003135385882625519,0.0004182020085911351,6.061935238528809e-05,0.0004356634045993846,1,True,0.0004356634045993846,0.873398813574917,4.857882926938271,4.86,4.86
-68.0,True,-0.002288609199101268,0.002288609199101268,0.00030472089847743966,0.00041615916607680176,5.791425621955778e-05,0.00042508293092485827,1,True,0.00042508293092485827,0.8778369478317779,4.869306648208394,4.87,4.87
-67.9,True,-0.0022881010871391065,0.0022881010871391065,0.00029594799364024427,0.0004143998027064423,5.5569150473430695e-05,0.0004146139065195342,1,True,0.0004146139065195342,0.8817599543598734,4.879678375967076,4.88,4.88
