cell_id,mu2,sigma,time,frozen_gate_rel_rms_all,block_selector_rel_rms_all,frozen_gate_rel_rms_cluster1,block_selector_rel_rms_cluster1,frozen_gate_rel_rms_cluster2,block_selector_rel_rms_cluster2
mu2_2p000__sigma_0p180,2.0,0.18,7.390000000000001,0.014939667828442115,0.07474131958272318,0.014368009086125094,0.0734792620558971,0.016140030173349966,0.07747778157188674
mu2_2p000__sigma_0p180,2.0,0.18,7.4,0.014973745738142615,0.07473962798044222,0.014393847904150723,0.07347116007072263,0.01619057974887655,0.07748961370742871
mu2_2p000__sigma_0p180,2.0,0.18,7.41,0.015007796665198525,0.07473796816922362,0.014419645006368992,0.07346308572378543,0.016241113054063686,0.0775014827628494
mu2_2p000__sigma_0p180,2.0,0.18,7.42,0.015041816104161906,0.07473633520647979,0.014445399147812532,0.07345503693165088,0.016291619179486804,0.0775133777742095
mu2_2p000__sigma_0p180,2.0,0.18,7.430000000000001,0.015075806019590748,0.07473473051936168,0.014471112115415281,0.07344701431654173,0.01634210052085153,0.07752530187311042
mu2_2p000__sigma_0p180,2.0,0.18,7.44,0.015109770139887176,0.07473315575321088,0.014496784536893109,0.07343901927898262,0.01639256699841536,0.07753725722188659
mu2_2p000__sigma_0p180,2.0,0.18,7.45,0.015143707478959928,0.07474200531935933,0.014522417148696853,0.07344637769534017,0.016443014275177536,0.07754924985864026
mu2_2p000__sigma_0p180,2.0,0.18,7.46,0.015177613679795973,0.07474047458576503,0.014548009447641725,0.07343841235338486,0.016493430440969646,0.07756127505462793
mu2_2p000__sigma_0p180,2.0,0.18,7.470000000000001,0.015211488293141732,0.07473897244520768,0.01457355835886697,0.07343047223852896,0.01654382028845114,0.0775733322964437
mu2_2p000__sigma_0p180,2.0,0.18,7.48,0.01524532914770489,0.07473749647850926,0.014599066943108831,0.07342255835766705,0.01659417144550004,0.07758541193814858
mu2_2p000__sigma_0p180,2.0,0.18,7.49,0.01527913670131472,0.07473604790997804,0.014624536864738608,0.0734146730593218,0.016644482097184898,0.0775975128101794
mu2_2p000__sigma_0p180,2.0,0.18,7.5,0.0153129193275012,0.07475002860611533,0.014649967073484847,0.07342952976221977,0.01669477919892725,0.07760965187370208
mu2_2p000__sigma_0p180,2.0,0.18,7.510000000000001,0.015346673493685854,0.07474861375581968,0.014675355778994075,0.07342165893357878,0.016745055828824046,0.07762182395993378
mu2_2p000__sigma_0p180,2.0,0.18,7.5200000000000005,0.015380392997279346,0.07474722670100584,0.014700701663865036,0.07341381424191445,0.016795296276229072,0.07763402366600823
mu2_2p000__sigma_0p180,2.0,0.18,7.53,0.01541407841637764,0.07474586541189486,0.01472600502640839,0.07340599469282495,0.01684550175295833,0.07764624678850873
mu2_2p000__sigma_0p180,2.0,0.18,7.54,0.0154477332772523,0.07474453250964075,0.014751268361056577,0.07339820165540398,0.01689567790671703,0.07765849861959251
mu2_2p000__sigma_0p180,2.0,0.18,7.550000000000001,0.015481351380885215,0.07472796336247248,0.014776491198054608,0.07336791165605035,0.016945807437914597,0.07767076736332064
mu2_2p000__sigma_0p180,2.0,0.18,7.5600000000000005,0.015514934498719962,0.0747419357691598,0.014801670977421404,0.07338268856301289,0.016995900636148222,0.07768305215258291
mu2_2p000__sigma_0p180,2.0,0.18,7.57,0.015548484620023633,0.07474067228033328,0.014826808498679577,0.0733749667743067,0.017045961881021286,0.07769535858158551
mu2_2p000__sigma_0p180,2.0,0.18,7.58,0.015582002463045315,0.07473943295271654,0.014851906059478365,0.07336726985453235,0.017095988906287374,0.07770768402769097
mu2_2p000__sigma_0p180,2.0,0.18,7.590000000000001,0.015615488748628161,0.07473822051826881,0.014876964318990542,0.0733595981473496,0.017145982629232656,0.07772003623659665
mu2_2p000__sigma_0p180,2.0,0.18,7.6000000000000005,0.015648949713394388,0.07473703955188944,0.014901983011405693,0.0733519519509934,0.01719596196218111,0.07773242879293756
mu2_2p000__sigma_0p180,2.0,0.18,7.61,0.015682378898394966,0.07473588493410659,0.01492696213504983,0.07334433065942154,0.017245907978527073,0.07774484706125831
mu2_2p000__sigma_0p180,2.0,0.18,7.62,0.015715775415057903,0.0747347559698501,0.014951898734773249,0.07333673231655705,0.01729582383593917,0.07775729299356517
mu2_2p000__sigma_0p180,2.0,0.18,7.630000000000001,0.01574914331314141,0.0747336536948971,0.014976793507489528,0.07332915623644497,0.017345720139013563,0.0777697712814621
mu2_2p000__sigma_0p180,2.0,0.18,7.640000000000001,0.015782485248926618,0.07473258287002185,0.015001648858534118,0.07332160464368451,0.017395600076827472,0.07778229200095292
mu2_2p000__sigma_0p180,2.0,0.18,7.65,0.015815794440270037,0.07471654876311985,0.015026464508486548,0.07329193409338028,0.01744544437124798,0.07779484020428903
mu2_2p000__sigma_0p180,2.0,0.18,7.66,0.015849066858872562,0.07473051947897663,0.015051239827926043,0.07330657524564194,0.017495242529946067,0.07780741009140553
mu2_2p000__sigma_0p180,2.0,0.18,7.67,0.01588230948336859,0.07472952778697461,0.015075976270038167,0.07329909848695022,0.017545012257650955,0.07782000798463953
